index,GHG/Unit,GHG Conversion Factor
1210,kg CO2e,0.00901
1211,kg CO2e,0.42339
1212,kg CO2e,0.01135
1213,kg CO2e,0.16751
1214,kg CO2e,5.05961
1215,kg CO2e,0.18822
1216,kg CO2e,
1217,kg CO2e,0.10625
1218,kg CO2e,0.00521
1219,kg CO2e,0.16751
12110,kg CO2e,5.05961
12111,kg CO2e,0.18822
12112,kg CO2e,0.16751
12113,kg CO2e,5.05961
12114,kg CO2e,0.18822
12115,kg CO2e,0.03558
12116,kg CO2e,1.03677
12117,kg CO2e,0.04562
12118,kg CO2e,0.00213
12119,kg CO2e,0.08952
12120,kg CO2e,0.00415
12121,kg CO2e,0.03705
12122,kg CO2e,1.03677
12123,kg CO2e,0.04461
12124,kg CO2e,0.01402
12125,kg CO2e,0.42339
12126,kg CO2e,0.0189
12127,kg CO2e,0.16751
12128,kg CO2e,5.05961
12129,kg CO2e,0.18822
12130,kg CO2e,
12131,kg CO2e,0.10625
12132,kg CO2e,0.00521
12133,kg CO2e,0.00669
12134,kg CO2e,0.42339
12135,kg CO2e,0.00844
12136,kg CO2e,0.02531
12137,kg CO2e,0.7234
12138,kg CO2e,0.03179
1220,kg CO2e,46.98508
1221,kg CO2e,0.0115
1222,kg CO2e,43.43964
1223,kg CO2e,0.0115
1224,kg CO2e,55.19389
1225,kg CO2e,0.0115
1226,kg CO2e,47.35709
1227,kg CO2e,0.01273
1230,kg CO2e,1.24314
1231,kg CO2e,0.00022
1232,kg CO2e,0.69696
1233,kg CO2e,0.0002
